Customer_Name,Customer_Segment,Product_Sub_Category,Total Sales
Emily Phan,Consumer,Office Machines,103652.49
Raymond Book,Consumer,Copiers and Fax,51954.52
Dennis Kane,Small Business,Copiers and Fax,49836.4
Jasper Cacioppo,Home Office,Office Machines,45923.76
Grant Carroll,Small Business,Binders and Binder Accessories,45000.25
Clytie Kelty,Small Business,Copiers and Fax,44344.4
Craig Carreira,Corporate,Office Machines,41343.21
Roy Skaria,Corporate,Bookcases,38092.34
Roy Phan,Consumer,Office Machines,36853.45
Lisa DeCherney,Corporate,Tables,34363.45
Barry Gonzalez,Consumer,Chairs & Chairmats,31980.58
Tonja Turnell,Consumer,Tables,31900.5
Mitch Gastineau,Small Business,Chairs & Chairmats,30917.55
Karen Carlisle,Corporate,Copiers and Fax,29884.6
Steve Chapman,Corporate,Bookcases,29345.27
Eleni McCrary,Home Office,Tables,29265.7
Nick Crebassa,Corporate,Office Machines,29186.49
Parhena Norris,Home Office,Copiers and Fax,28761.52
Deborah Brumfield,Small Business,Copiers and Fax,28664.52
Valerie Takahito,Consumer,Bookcases,28389.14
Andy Reiter,Corporate,Office Machines,28359.4
Sally Matthias,Home Office,Bookcases,28180.08
Seth Vernon,Home Office,Copiers and Fax,27875.54
Logan Haushalter,Corporate,Copiers and Fax,27820.34
Tony Chapman,Consumer,Copiers and Fax,27663.92
Roy Skaria,Corporate,Copiers and Fax,27222.45
Becky Pak,Corporate,Office Machines,26698.56
Ivan Liston,Consumer,Tables,26517.93
Julia West,Home Office,Bookcases,26133.39
Dean Percer,Consumer,Copiers and Fax,26126.92
Rick Wilson,Consumer,Office Machines,26095.13
John Lucas,Small Business,Tables,26016.61
Jack Lebron,Corporate,Copiers and Fax,25799.56
John Stevenson,Small Business,Binders and Binder Accessories,25569.02
Liz MacKendrick,Corporate,Office Machines,25313.34
Deborah Brumfield,Small Business,Office Machines,25312
Cari Sayre,Corporate,Office Machines,25016.85
Brooke Gillingham,Small Business,Office Machines,24896.42
Greg Tran,Home Office,Chairs & Chairmats,24701.12
Peter Fuller,Corporate,Office Machines,24559.91
Julia Barnett,Corporate,Bookcases,24391.16
Jay Fine,Consumer,"Scissors, Rulers and Trimmers",24094.26
Ritsa Hightower,Corporate,Copiers and Fax,24051.49
Darren Budd,Home Office,Copiers and Fax,23949.51
Michael Oakman,Small Business,Office Machines,23300.12
Jack O'Briant,Home Office,Copiers and Fax,23281.05
Ross DeVincentis,Corporate,Chairs & Chairmats,23239.96
Juliana Krohn,Corporate,Binders and Binder Accessories,23232.29
Alejandro Grove,Corporate,Binders and Binder Accessories,23106.46
Mark Cousins,Corporate,Chairs & Chairmats,22534.26
Max Jones,Home Office,Chairs & Chairmats,22509.28
Maribeth Dona,Home Office,Copiers and Fax,22319.58
Jocasta Rupert,Consumer,Office Machines,22145.37
Sylvia Foulston,Corporate,Office Machines,22079.47
Mark Cousins,Home Office,Office Machines,21988.19
Ruben Dartt,Corporate,Chairs & Chairmats,21968.44
Muhammed Yedwab,Consumer,Copiers and Fax,21956.03
Ruben Dartt,Corporate,Binders and Binder Accessories,21943.46
Nathan Mautz,Home Office,Office Machines,21921.28
Noel Staavos,Home Office,Copiers and Fax,21717.36
Cindy Schnelling,Corporate,Office Machines,21532.26
Carlos Soltero,Small Business,Copiers and Fax,21506.77
Justin MacKendrick,Corporate,Chairs & Chairmats,21390.44
Adrian Barton,Small Business,Office Machines,21366.51
Cathy Prescott,Corporate,Storage & Organization,21337.27
Barry Weirich,Corporate,Office Machines,21320.58
Lycoris Saunders,Corporate,Office Machines,21259.62
Julie Kriz,Corporate,Copiers and Fax,21205.5
